Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
SPR-P5-540-UPP,                   SunPower,        Monocrystalline,    0.209,      2.362,   2.36,          1.092,    1.09,         0.035,     13,  6,   540,    45.8, 11.80,  55.4, 12.59,  -0.0034,  45,    31.5,   Black,  High,             0.65
SPR-P5-545-UPP,                   SunPower,        Monocrystalline,    0.211,      2.362,   2.36,          1.092,    1.09,         0.035,     13,  6,   545,    46.1, 11.84,  55.8, 12.62,  -0.0034,  45,    31.5,   Black,  High,             0.65
SW 300 MONO,                      Solar World,     Monocrystalline,    0.1789,     1.675,   1.65,          1.001,    0.99,         0.033,     10,  6,   300,    31.6,  9.57,  40.1, 10.23,  -0.0041,  46,    18,     Black,  Partial,          0
TSM-175PEG40.07,                  Trina Solar,     Polycrystalline,    0.1064,     1.658,   1.65,          0.992,    0.99,         0.025,     10,  6,   175,    20.6,  8.5,   25.4,  9,     -0.0041,  44,    23,     Blue,   Partial,          0
TSM-250PDG5,                      Trina Solar,     Polycrystalline,    0.152,      1.658,   1.65,          0.992,    0.99,         0.032,     10,  6,   250,    30,    8.34,  37.5,  8.79,  -0.0041,  44,    23.5,   Blue,   Partial,          0
TSM-300PEG14,                     Trina Solar,     Monocrystalline,    0.1529,     1.978,   1.96,          0.992,    0.99,         0.032,     12,  6,   300,    36.4,  8.24,  45.2,  8.74,  -0.0041,  44,    28.6,   Blue,   Partial,          0
TSM-325PEG14(II),                 Trina Solar,     Polycrystalline,    0.1641,     1.984,   1.96,          0.998,    0.99,         0.008,     12,  6,   325,    37.4,  8.69,  46.1,  9.14,  -0.0041,  44,    28,     Blue,   Partial,          0
TSM-350DD14A(II),                 Trina Solar,     Monocrystalline,    0.1804,     1.956,   1.96,          0.992,    0.99,         0.04,      12,  6,   350,    38.5,  9.09,  46.9,  9.6,   -0.0039,  44,    26,     Blue,   Partial,          0
TSM-365DD14A(II),                 Trina Solar,     Monocrystalline,    0.1881,     1.956,   1.96,          0.992,    0.99,         0.04,      12,  6,   365,    39.1,  9.35,  47.3,  9.88,  -0.0039,  44,    26,     Black,  Partial,          0
TSM-645DEG21C.20,                 Trina Solar,     Monocrystalline,    0.208,      2.384,   2.38,          1.303,    1.30,         0.033,     22,  6,   645,    37.5, 17.23,  45.3, 18.31,  -0.0034,  43,    38.3,   Black,  Partial,          0.7
TSM-650DEG21C.20,                 Trina Solar,     Monocrystalline,    0.209,      2.384,   2.38,          1.303,    1.30,         0.033,     22,  6,   650,    37.7, 17.27,  45.5, 18.35,  -0.0034,  43,    38.3,   Black,  Partial,          0.7
TSM-655DEG21C.20,                 Trina Solar,     Monocrystalline,    0.211,      2.384,   2.38,          1.303,    1.30,         0.033,     22,  6,   655,    37.9, 17.31,  45.7, 18.40,  -0.0034,  43,    38.3,   Black,  Partial,          0.7
TSM-660DEG21C.20,                 Trina Solar,     Monocrystalline,    0.212,      2.384,   2.38,          1.303,    1.30,         0.033,     22,  6,   660,    38.1, 17.35,  45.9, 18.45,  -0.0034,  43,    38.3,   Black,  Partial,          0.7
